iter	RMSE
0	0.006122932201
1	0.006121850374
2	0.006121442113
3	0.006120531003
4	0.006119648552
5	0.006119331178
6	0.006118061048
7	0.006117209758
8	0.006116623185
9	0.006115828787
10	0.006114918533
11	0.006114236968
12	0.006113583144
13	0.006112927829
14	0.006112554887
15	0.006112122284
16	0.006111836418
17	0.006111112754
18	0.00611011503
19	0.006109639054
20	0.006109335257
21	0.006108832214
22	0.006108055908
23	0.006107136597
24	0.006106185018
25	0.006105530769
26	0.006104759848
27	0.006104165241
28	0.006103621407
29	0.006103142282
30	0.006102413303
31	0.006101782478
32	0.00610115266
33	0.006100727396
34	0.00610046138
35	0.006099959709
36	0.006099650433
37	0.006098807493
38	0.006098410193
39	0.006097865673
40	0.006097122964
41	0.006096777171
42	0.006096178878
43	0.006095183715
44	0.006094830835
45	0.006094030267
46	0.006093225269
47	0.006092880835
48	0.006092368647
49	0.006091822799
50	0.006091096855
51	0.006090459597
52	0.006089950272
53	0.006089661614
54	0.006089228103
55	0.006088790769
56	0.006088262086
57	0.006087754808
58	0.006087142354
59	0.006086305124
60	0.006085475575
61	0.006085354959
62	0.006084692783
63	0.006084233371
64	0.006083682515
65	0.006083209506
66	0.006082776784
67	0.006081889906
68	0.006080922358
69	0.006080249789
70	0.006079639699
71	0.0060788432
72	0.006078009173
73	0.006077665024
74	0.006076844894
75	0.006075893806
76	0.0060750623
77	0.006074579598
78	0.006074134051
79	0.006073634545
80	0.006073313797
81	0.006073050006
82	0.006072514618
83	0.006072053846
84	0.006071642828
85	0.006071164924
86	0.006070181991
87	0.006069639329
88	0.006069144175
89	0.006068762736
90	0.006068142191
91	0.006067531168
92	0.006066361939
93	0.006065876594
94	0.006065265145
95	0.006064697917
96	0.00606429827
97	0.006064067023
98	0.006063334271
99	0.006062746554
